,geography,geographic_area_name,occupied_housing_units,occupied_housing_units_moe,median_monthly_costs_occupied_units,median_monthly_costs_occupied_units_moe,occupied_units_percentage,occupied_units_percentage_moe,owner_occupied_units,owner_occupied_units_moe,median_monthly_costs_owner_occupied,median_monthly_costs_owner_occupied_moe,owner_occupied_units_percentage,owner_occupied_units_percentage_moe,median_monthly_costs_owner_percentage,median_monthly_costs_owner_percentage_moe,renter_occupied_units,renter_occupied_units_moe,no_cash_rent_renter_units,no_cash_rent_renter_units_moe,median_monthly_costs_renter_units,median_monthly_costs_renter_units_moe,renter_occupied_units_percentage,renter_occupied_units_percentage_moe,median_monthly_costs_renter_percentage,median_monthly_costs_renter_percentage_moe
0,1400000US12001000201,Census Tract 2.01; Alachua County; Florida,1960,365,878,113,1960,365,151,78,612,343,151,78,612,343,1809,362,40,52,893,184,1809,362,893,184
894,1400000US12021010805,Census Tract 108.05; Collier County; Florida,1067,293,1478,239,1067,293,817,158,1298,239,817,158,1298,239,250,265,5,10,1751,117,250,265,1751,117
895,1400000US12021010806,Census Tract 108.06; Collier County; Florida,824,187,1483,268,824,187,601,177,1210,320,601,177,1210,320,223,153,0,15,1675,178,223,153,1675,178
896,1400000US12021010807,Census Tract 108.07; Collier County; Florida,2780,496,1565,239,2780,496,1442,460,1334,214,1442,460,1334,214,1338,364,42,47,1787,219,1338,364,1787,219
897,1400000US12021010808,Census Tract 108.08; Collier County; Florida,1915,314,1390,352,1915,314,1594,300,1200,368,1594,300,1200,368,321,205,0,15,2086,652,321,205,2086,652
898,1400000US12021010902,Census Tract 109.02; Collier County; Florida,1684,235,2137,395,1684,235,1496,240,2044,559,1496,240,2044,559,188,91,20,23,2377,649,188,91,2377,649
899,1400000US12021010904,Census Tract 109.04; Collier County; Florida,1032,315,1533,172,1032,315,909,318,1504,201,909,318,1504,201,123,70,7,11,1791,413,123,70,1791,413
900,1400000US12021010905,Census Tract 109.05; Collier County; Florida,1400,225,1942,250,1400,225,1194,183,2185,348,1194,183,2185,348,206,120,24,28,1679,133,206,120,1679,133
901,1400000US12021010906,Census Tract 109.06; Collier County; Florida,776,203,1592,640,776,203,717,196,1621,672,717,196,1621,672,59,55,19,28,-,**,59,55,-,**
902,1400000US12021010907,Census Tract 109.07; Collier County; Florida,1300,207,1211,294,1300,207,1146,190,1170,279,1146,190,1170,279,154,139,106,129,2196,312,154,139,2196,312
903,1400000US12021011003,Census Tract 110.03; Collier County; Florida,2137,339,1874,177,2137,339,2051,340,1884,191,2051,340,1884,191,86,40,40,30,1548,756,86,40,1548,756
904,1400000US12021011103,Census Tract 111.03; Collier County; Florida,1037,220,545,160,1037,220,923,216,499,131,923,216,499,131,114,74,21,25,1006,262,114,74,1006,262
905,1400000US12021011107,Census Tract 111.07; Collier County; Florida,436,297,2041,1351,436,297,383,299,2100,1168,383,299,2100,1168,53,68,0,15,-,**,53,68,-,**
906,1400000US12021011108,Census Tract 111.08; Collier County; Florida,3245,370,1222,242,3245,370,2928,379,1169,241,2928,379,1169,241,317,180,42,40,2170,891,317,180,2170,891
907,1400000US12021011109,Census Tract 111.09; Collier County; Florida,985,254,1650,180,985,254,883,247,1607,146,883,247,1607,146,102,67,13,19,1875,379,102,67,1875,379
908,1400000US12021011110,Census Tract 111.10; Collier County; Florida,691,129,1105,231,691,129,480,106,639,155,480,106,639,155,211,71,0,15,1416,89,211,71,1416,89
909,1400000US12021011111,Census Tract 111.11; Collier County; Florida,942,222,2023,953,942,222,894,226,1769,1029,894,226,1769,1029,48,60,10,16,-,**,48,60,-,**
910,1400000US12021011112,Census Tract 111.12; Collier County; Florida,629,101,1619,199,629,101,581,105,1627,195,581,105,1627,195,48,29,0,15,-,**,48,29,-,**
911,1400000US12021011113,Census Tract 111.13; Collier County; Florida,477,93,1006,123,477,93,447,101,983,108,447,101,983,108,30,47,0,15,-,**,30,47,-,**
912,1400000US12021011114,Census Tract 111.14; Collier County; Florida,1469,287,1672,194,1469,287,813,173,897,440,813,173,897,440,656,265,9,15,1870,166,656,265,1870,166
913,1400000US12021011204,Census Tract 112.04; Collier County; Florida,1213,231,768,251,1213,231,299,106,754,567,299,106,754,567,914,225,10,15,746,339,914,225,746,339
914,1400000US12021011205,Census Tract 112.05; Collier County; Florida,850,176,811,60,850,176,109,55,-,**,109,55,-,**,741,180,23,28,814,54,741,180,814,54
915,1400000US12021011206,Census Tract 112.06; Collier County; Florida,2081,408,1554,330,2081,408,1748,439,1435,518,1748,439,1435,518,333,222,0,21,1945,466,333,222,1945,466
916,1400000US12021011207,Census Tract 112.07; Collier County; Florida,1311,205,1006,507,1311,205,1269,221,919,495,1269,221,919,495,42,72,0,15,-,**,42,72,-,**
917,1400000US12021011208,Census Tract 112.08; Collier County; Florida,1831,330,1925,362,1831,330,1348,382,1799,306,1348,382,1799,306,483,296,0,21,2287,987,483,296,2287,987
918,1400000US12021011209,Census Tract 112.09; Collier County; Florida,3086,546,2076,291,3086,546,2556,536,1986,530,2556,536,1986,530,530,236,60,91,2173,170,530,236,2173,170
919,1400000US12021011210,Census Tract 112.10; Collier County; Florida,1187,296,1580,249,1187,296,997,299,1470,166,997,299,1470,166,190,65,26,45,-,**,190,65,-,**
920,1400000US12021011211,Census Tract 112.11; Collier County; Florida,1886,473,1769,586,1886,473,1602,508,1605,625,1602,508,1605,625,284,156,0,21,2095,432,284,156,2095,432
921,1400000US12021011212,Census Tract 112.12; Collier County; Florida,1611,221,1557,630,1611,221,1386,234,1611,670,1386,234,1611,670,225,120,98,104,1351,1248,225,120,1351,1248
922,1400000US12021011213,Census Tract 112.13; Collier County; Florida,2373,408,2005,288,2373,408,2000,377,1834,349,2000,377,1834,349,373,191,0,15,2719,966,373,191,2719,966
923,1400000US12021011214,Census Tract 112.14; Collier County; Florida,1428,444,1650,199,1428,444,1403,442,1642,186,1403,442,1642,186,25,44,0,15,-,**,25,44,-,**
924,1400000US12021011303,Census Tract 113.03; Collier County; Florida,1108,156,869,92,1108,156,385,152,510,99,385,152,510,99,723,166,0,15,1006,138,723,166,1006,138
925,1400000US12021011304,Census Tract 113.04; Collier County; Florida,572,105,1097,115,572,105,332,78,1084,135,332,78,1084,135,240,86,22,24,1136,306,240,86,1136,306
926,1400000US12021011305,Census Tract 113.05; Collier County; Florida,836,150,700,154,836,150,369,126,478,228,369,126,478,228,467,191,30,37,773,186,467,191,773,186
927,1400000US12021011306,Census Tract 113.06; Collier County; Florida,1052,151,821,104,1052,151,700,143,774,155,700,143,774,155,352,121,8,13,889,193,352,121,889,193
928,1400000US12021011400,Census Tract 114; Collier County; Florida,1115,176,1181,346,1115,176,433,168,-,**,433,168,-,**,682,172,31,28,1309,319,682,172,1309,319
929,1400000US12021990000,Census Tract 9900; Collier County; Florida,0,15,-,**,0,15,0,15,-,**,0,15,-,**,0,15,0,15,-,**,0,15,-,**
930,1400000US12023110201,Census Tract 1102.01; Columbia County; Florida,1838,198,855,59,1838,198,974,156,722,295,974,156,722,295,864,186,27,26,880,54,864,186,880,54
931,1400000US12023110202,Census Tract 1102.02; Columbia County; Florida,2234,308,621,164,2234,308,1865,334,565,183,1865,334,565,183,369,143,116,95,738,116,369,143,738,116
932,1400000US12023110300,Census Tract 1103; Columbia County; Florida,1836,262,727,154,1836,262,876,247,370,168,876,247,370,168,960,252,107,87,812,77,960,252,812,77
933,1400000US12023110400,Census Tract 1104; Columbia County; Florida,1047,180,774,91,1047,180,506,176,449,186,506,176,449,186,541,144,87,92,928,234,541,144,928,234
934,1400000US12023110500,Census Tract 1105; Columbia County; Florida,3186,267,982,58,3186,267,1466,247,904,247,1466,247,904,247,1720,225,12,18,1004,60,1720,225,1004,60
935,1400000US12023110602,Census Tract 1106.02; Columbia County; Florida,1732,228,963,113,1732,228,1471,203,919,190,1471,203,919,190,261,133,21,26,1198,320,261,133,1198,320
936,1400000US12023110603,Census Tract 1106.03; Columbia County; Florida,1135,258,829,228,1135,258,909,266,884,286,909,266,884,286,226,164,88,91,600,206,226,164,600,206
937,1400000US12023110604,Census Tract 1106.04; Columbia County; Florida,2681,261,930,115,2681,261,2322,245,912,180,2322,245,912,180,359,146,27,44,1039,257,359,146,1039,257
938,1400000US12023110700,Census Tract 1107; Columbia County; Florida,1919,196,968,45,1919,196,968,153,1106,173,968,153,1106,173,951,230,79,99,935,42,951,230,935,42
939,1400000US12023110800,Census Tract 1108; Columbia County; Florida,2471,267,600,172,2471,267,2084,269,565,143,2084,269,565,143,387,152,30,45,825,131,387,152,825,131
940,1400000US12023110901,Census Tract 1109.01; Columbia County; Florida,2097,245,607,200,2097,245,1783,244,569,243,1783,244,569,243,314,173,95,90,-,**,314,173,-,**
941,1400000US12023110903,Census Tract 1109.03; Columbia County; Florida,1839,218,598,186,1839,218,1556,232,540,118,1556,232,540,118,283,107,53,49,818,171,283,107,818,171
942,1400000US12023110904,Census Tract 1109.04; Columbia County; Florida,2376,198,627,45,2376,198,2070,231,625,93,2070,231,625,93,306,158,53,44,643,244,306,158,643,244
943,1400000US12027010101,Census Tract 101.01; DeSoto County; Florida,1767,204,613,129,1767,204,1429,199,510,135,1429,199,510,135,338,151,72,64,820,140,338,151,820,140
944,1400000US12027010102,Census Tract 101.02; DeSoto County; Florida,906,153,490,128,906,153,821,128,462,76,821,128,462,76,85,77,0,15,687,25,85,77,687,25
945,1400000US12027010200,Census Tract 102; DeSoto County; Florida,2205,293,819,79,2205,293,1203,241,664,185,1203,241,664,185,1002,238,41,59,857,65,1002,238,857,65
946,1400000US12027010301,Census Tract 103.01; DeSoto County; Florida,2285,249,739,125,2285,249,1241,199,468,78,1241,199,468,78,1044,194,27,37,883,82,1044,194,883,82
947,1400000US12027010302,Census Tract 103.02; DeSoto County; Florida,770,163,656,407,770,163,453,120,329,180,453,120,329,180,317,132,27,43,1059,217,317,132,1059,217
948,1400000US12027010403,Census Tract 104.03; DeSoto County; Florida,1460,189,762,129,1460,189,1378,183,763,127,1378,183,763,127,82,55,41,47,822,546,82,55,822,546
949,1400000US12027010404,Census Tract 104.04; DeSoto County; Florida,985,263,568,135,985,263,648,135,539,85,648,135,539,85,337,250,169,213,690,660,337,250,690,660
950,1400000US12027010405,Census Tract 104.05; DeSoto County; Florida,768,160,446,106,768,160,722,158,426,103,722,158,426,103,46,31,24,25,950,495,46,31,950,495
951,1400000US12027010406,Census Tract 104.06; DeSoto County; Florida,1194,190,646,116,1194,190,889,174,626,151,889,174,626,151,305,147,10,19,685,669,305,147,685,669
952,1400000US12029970101,Census Tract 9701.01; Dixie County; Florida,1586,208,495,136,1586,208,1247,201,433,99,1247,201,433,99,339,135,119,102,814,188,339,135,814,188
953,1400000US12029970103,Census Tract 9701.03; Dixie County; Florida,1703,224,348,53,1703,224,1459,227,355,34,1459,227,355,34,244,122,125,97,-,**,244,122,-,**
954,1400000US12029970104,Census Tract 9701.04; Dixie County; Florida,1470,232,377,59,1470,232,1238,238,340,59,1238,238,340,59,232,126,47,64,510,112,232,126,510,112
955,1400000US12029970201,Census Tract 9702.01; Dixie County; Florida,703,170,419,81,703,170,604,167,400,102,604,167,400,102,99,61,26,31,737,104,99,61,737,104
956,1400000US12029970202,Census Tract 9702.02; Dixie County; Florida,702,123,604,151,702,123,569,110,576,92,569,110,576,92,133,83,82,78,982,171,133,83,982,171
957,1400000US12029990000,Census Tract 9900; Dixie County; Florida,0,15,-,**,0,15,0,15,-,**,0,15,-,**,0,15,0,15,-,**,0,15,-,**
958,1400000US12031000101,Census Tract 1.01; Duval County; Florida,1446,487,778,166,1446,487,1001,455,591,308,1001,455,591,308,445,205,0,15,866,295,445,205,866,295
959,1400000US12031000102,Census Tract 1.02; Duval County; Florida,1327,253,1037,169,1327,253,583,182,478,475,583,182,478,475,744,278,26,46,1219,188,744,278,1219,188
960,1400000US12031000200,Census Tract 2; Duval County; Florida,1054,157,702,152,1054,157,528,127,507,120,528,127,507,120,526,113,17,20,786,75,526,113,786,75
961,1400000US12031000300,Census Tract 3; Duval County; Florida,780,75,829,35,780,75,344,83,546,169,344,83,546,169,436,83,19,22,907,64,436,83,907,64
962,1400000US12031000600,Census Tract 6; Duval County; Florida,2484,406,895,260,2484,406,856,223,823,501,856,223,823,501,1628,405,0,21,902,329,1628,405,902,329
963,1400000US12031000700,Census Tract 7; Duval County; Florida,1856,192,1337,179,1856,192,1247,148,1495,447,1247,148,1495,447,609,177,5,14,1169,139,609,177,1169,139
964,1400000US12031000800,Census Tract 8; Duval County; Florida,2051,299,1292,263,2051,299,399,106,1911,349,399,106,1911,349,1652,287,30,29,1210,176,1652,287,1210,176
965,1400000US12031001000,Census Tract 10; Duval County; Florida,887,129,313,57,887,129,32,25,929,689,32,25,929,689,855,131,0,15,302,48,855,131,302,48
966,1400000US12031001100,Census Tract 11; Duval County; Florida,954,119,1297,452,954,119,605,132,1809,322,605,132,1809,322,349,88,0,15,867,146,349,88,867,146
967,1400000US12031001200,Census Tract 12; Duval County; Florida,797,157,1037,203,797,157,463,155,1058,423,463,155,1058,423,334,93,0,15,1019,192,334,93,1019,192
968,1400000US12031001300,Census Tract 13; Duval County; Florida,1548,213,702,164,1548,213,496,122,635,138,496,122,635,138,1052,230,9,11,761,169,1052,230,761,169
969,1400000US12031001401,Census Tract 14.01; Duval County; Florida,1369,217,963,151,1369,217,569,144,1047,193,569,144,1047,193,800,241,0,15,909,149,800,241,909,149
970,1400000US12031001402,Census Tract 14.02; Duval County; Florida,979,111,806,179,979,111,462,143,747,152,462,143,747,152,517,152,0,15,888,426,517,152,888,426
971,1400000US12031001500,Census Tract 15; Duval County; Florida,1565,267,950,66,1565,267,410,144,395,150,410,144,395,150,1155,288,81,55,988,66,1155,288,988,66
972,1400000US12031001600,Census Tract 16; Duval County; Florida,765,188,400,311,765,188,165,64,-,**,165,64,-,**,600,188,20,24,442,328,600,188,442,328
973,1400000US12031002101,Census Tract 21.01; Duval County; Florida,1730,266,1251,177,1730,266,908,208,2004,343,908,208,2004,343,822,216,48,57,990,65,822,216,990,65
974,1400000US12031002102,Census Tract 21.02; Duval County; Florida,1213,133,1481,141,1213,133,593,106,2506,765,593,106,2506,765,620,118,0,15,1177,130,620,118,1177,130
975,1400000US12031002200,Census Tract 22; Duval County; Florida,2299,272,1695,228,2299,272,1656,301,1721,330,1656,301,1721,330,643,213,46,69,1501,213,643,213,1501,213
976,1400000US12031002300,Census Tract 23; Duval County; Florida,920,138,1384,114,920,138,743,133,1467,184,743,133,1467,184,177,53,15,19,985,132,177,53,985,132
977,1400000US12031002400,Census Tract 24; Duval County; Florida,821,88,1904,296,821,88,640,105,1964,687,640,105,1964,687,181,58,0,15,1759,330,181,58,1759,330
978,1400000US12031002501,Census Tract 25.01; Duval County; Florida,2127,320,953,177,2127,320,1039,268,994,264,1039,268,994,264,1088,206,14,24,875,223,1088,206,875,223
979,1400000US12031002502,Census Tract 25.02; Duval County; Florida,1782,238,1177,64,1782,238,1213,183,1136,91,1213,183,1136,91,569,210,0,15,1228,118,569,210,1228,118
980,1400000US12031002600,Census Tract 26; Duval County; Florida,1437,281,406,184,1437,281,844,296,277,59,844,296,277,59,593,159,10,14,1026,74,593,159,1026,74
981,1400000US12031002701,Census Tract 27.01; Duval County; Florida,1269,243,913,133,1269,243,560,102,525,123,560,102,525,123,709,234,24,40,1058,138,709,234,1058,138
982,1400000US12031002702,Census Tract 27.02; Duval County; Florida,1536,201,865,189,1536,201,548,143,564,213,548,143,564,213,988,217,0,15,1017,132,988,217,1017,132
983,1400000US12031002801,Census Tract 28.01; Duval County; Florida,1994,214,772,156,1994,214,905,172,400,205,905,172,400,205,1089,221,29,30,898,93,1089,221,898,93
984,1400000US12031002802,Census Tract 28.02; Duval County; Florida,2184,274,722,79,2184,274,1232,347,591,185,1232,347,591,185,952,227,77,55,888,221,952,227,888,221
985,1400000US12031002901,Census Tract 29.01; Duval County; Florida,1341,186,896,94,1341,186,560,149,488,260,560,149,488,260,781,172,43,44,1100,71,781,172,1100,71
986,1400000US12031002902,Census Tract 29.02; Duval County; Florida,1672,419,847,51,1672,419,616,258,364,156,616,258,364,156,1056,365,0,15,903,207,1056,365,903,207
987,1400000US12031010101,Census Tract 101.01; Duval County; Florida,3508,374,1608,132,3508,374,3132,404,1579,158,3132,404,1579,158,376,160,0,23,1994,401,376,160,1994,401
988,1400000US12031010104,Census Tract 101.04; Duval County; Florida,1994,291,1783,292,1994,291,1878,292,1815,312,1878,292,1815,312,116,97,7,15,1783,460,116,97,1783,460
989,1400000US12031010105,Census Tract 101.05; Duval County; Florida,978,85,1920,288,978,85,883,104,1892,279,883,104,1892,279,95,89,14,22,2184,832,95,89,2184,832
990,1400000US12031010106,Census Tract 101.06; Duval County; Florida,2011,167,1797,70,2011,167,1689,202,1754,130,1689,202,1754,130,322,159,28,48,1936,262,322,159,1936,262
991,1400000US12031010107,Census Tract 101.07; Duval County; Florida,1815,296,1275,188,1815,296,1727,287,1227,183,1727,287,1227,183,88,97,0,21,-,**,88,97,-,**
992,1400000US12031010202,Census Tract 102.02; Duval County; Florida,1322,246,1285,91,1322,246,1062,272,1263,199,1062,272,1263,199,260,97,0,15,1363,153,260,97,1363,153
993,1400000US12031010203,Census Tract 102.03; Duval County; Florida,2410,278,1280,173,2410,278,1407,232,1148,125,1407,232,1148,125,1003,258,148,174,1410,190,1003,258,1410,190
994,1400000US12031010204,Census Tract 102.04; Duval County; Florida,1459,148,1840,276,1459,148,879,182,1326,645,879,182,1326,645,580,178,0,15,2174,110,580,178,2174,110
995,1400000US12031010301,Census Tract 103.01; Duval County; Florida,2637,255,1553,115,2637,255,1584,221,1412,448,1584,221,1412,448,1053,214,0,21,1677,125,1053,214,1677,125
996,1400000US12031010305,Census Tract 103.05; Duval County; Florida,2671,537,1299,78,2671,537,1339,226,1260,326,1339,226,1260,326,1332,563,0,21,1315,106,1332,563,1315,106
997,1400000US12031010306,Census Tract 103.06; Duval County; Florida,571,105,1035,142,571,105,299,80,1122,150,299,80,1122,150,272,135,0,15,986,95,272,135,986,95
998,1400000US12031010307,Census Tract 103.07; Duval County; Florida,741,112,1114,87,741,112,237,106,957,170,237,106,957,170,504,136,0,15,1145,75,504,136,1145,75
999,1400000US12031010308,Census Tract 103.08; Duval County; Florida,1945,251,1157,160,1945,251,1458,271,1055,199,1458,271,1055,199,487,166,33,43,1310,115,487,166,1310,115
1000,1400000US12031010401,Census Tract 104.01; Duval County; Florida,1254,143,1313,134,1254,143,623,156,1014,252,623,156,1014,252,631,185,30,37,1443,136,631,185,1443,136
1001,1400000US12031010402,Census Tract 104.02; Duval County; Florida,1635,310,1113,85,1635,310,458,100,825,95,458,100,825,95,1177,311,51,47,1180,86,1177,311,1180,86
1002,1400000US12031010501,Census Tract 105.01; Duval County; Florida,1572,240,1809,94,1572,240,1422,237,1806,96,1422,237,1806,96,150,124,0,21,-,**,150,124,-,**
1003,1400000US12031010502,Census Tract 105.02; Duval County; Florida,1543,292,977,217,1543,292,1334,305,964,157,1334,305,964,157,209,155,8,48,1531,1151,209,155,1531,1151
1004,1400000US12031010503,Census Tract 105.03; Duval County; Florida,2692,494,1193,143,2692,494,1651,517,1183,139,1651,517,1183,139,1041,353,202,183,1233,389,1041,353,1233,389
1005,1400000US12031010601,Census Tract 106.01; Duval County; Florida,1256,157,991,234,1256,157,1217,172,990,270,1217,172,990,270,39,48,0,15,-,**,39,48,-,**
1006,1400000US12031010602,Census Tract 106.02; Duval County; Florida,1077,346,-,**,1077,346,987,352,-,**,987,352,-,**,90,106,0,15,-,**,90,106,-,**
1007,1400000US12031010700,Census Tract 107; Duval County; Florida,2049,437,605,80,2049,437,1667,431,526,135,1667,431,526,135,382,181,10,15,1189,155,382,181,1189,155
1008,1400000US12031010800,Census Tract 108; Duval County; Florida,1821,157,862,155,1821,157,1138,168,644,118,1138,168,644,118,683,169,127,118,1263,162,683,169,1263,162
1009,1400000US12031010900,Census Tract 109; Duval County; Florida,1715,303,1116,138,1715,303,1200,345,908,427,1200,345,908,427,515,201,14,23,1223,147,515,201,1223,147
1010,1400000US12031011000,Census Tract 110; Duval County; Florida,1511,276,910,179,1511,276,798,202,515,217,798,202,515,217,713,252,7,10,1084,149,713,252,1084,149
1011,1400000US12031011100,Census Tract 111; Duval County; Florida,1334,232,1066,88,1334,232,575,177,796,251,575,177,796,251,759,211,58,61,1199,130,759,211,1199,130
1012,1400000US12031011200,Census Tract 112; Duval County; Florida,1138,238,1073,87,1138,238,511,97,901,245,511,97,901,245,627,252,48,35,1138,87,627,252,1138,87
1013,1400000US12031011300,Census Tract 113; Duval County; Florida,1123,222,824,164,1123,222,693,192,684,74,693,192,684,74,430,130,28,33,986,141,430,130,986,141
1014,1400000US12031011400,Census Tract 114; Duval County; Florida,921,136,834,59,921,136,680,151,593,188,680,151,593,188,241,90,17,17,1188,161,241,90,1188,161
1015,1400000US12031011500,Census Tract 115; Duval County; Florida,1573,215,807,81,1573,215,840,192,684,103,840,192,684,103,733,141,33,37,988,94,733,141,988,94
1016,1400000US12031011600,Census Tract 116; Duval County; Florida,1532,208,908,171,1532,208,850,231,710,279,850,231,710,279,682,161,0,15,1013,120,682,161,1013,120
1017,1400000US12031011700,Census Tract 117; Duval County; Florida,1153,188,896,237,1153,188,718,160,1052,194,718,160,1052,194,435,224,25,27,816,224,435,224,816,224
1018,1400000US12031011800,Census Tract 118; Duval County; Florida,1092,171,819,62,1092,171,666,163,712,68,666,163,712,68,426,133,0,15,1059,169,426,133,1059,169
1019,1400000US12031011901,Census Tract 119.01; Duval County; Florida,3025,425,1007,154,3025,425,2438,436,926,213,2438,436,926,213,587,206,105,110,1133,46,587,206,1133,46
1020,1400000US12031011903,Census Tract 119.03; Duval County; Florida,1835,187,1197,149,1835,187,1499,216,1068,132,1499,216,1068,132,336,134,18,25,1747,127,336,134,1747,127
1021,1400000US12031011904,Census Tract 119.04; Duval County; Florida,1414,163,1617,166,1414,163,1255,181,1622,154,1255,181,1622,154,159,102,0,15,1097,1007,159,102,1097,1007
1022,1400000US12031011905,Census Tract 119.05; Duval County; Florida,2360,350,1064,171,2360,350,1832,293,835,334,1832,293,835,334,528,251,0,21,1262,189,528,251,1262,189
1023,1400000US12031012000,Census Tract 120; Duval County; Florida,1919,215,1077,144,1919,215,1130,151,585,130,1130,151,585,130,789,224,42,46,1375,98,789,224,1375,98
1024,1400000US12031012100,Census Tract 121; Duval County; Florida,707,178,1141,143,707,178,384,137,1070,384,384,137,1070,384,323,122,17,22,1188,162,323,122,1188,162
1025,1400000US12031012201,Census Tract 122.01; Duval County; Florida,1311,230,906,84,1311,230,622,174,962,213,622,174,962,213,689,247,31,40,850,359,689,247,850,359
1026,1400000US12031012202,Census Tract 122.02; Duval County; Florida,2182,362,1031,112,2182,362,876,288,471,338,876,288,471,338,1306,324,20,34,1107,84,1306,324,1107,84
1027,1400000US12031012300,Census Tract 123; Duval County; Florida,1747,181,935,103,1747,181,970,182,967,178,970,182,967,178,777,143,27,40,917,112,777,143,917,112
1028,1400000US12031012400,Census Tract 124; Duval County; Florida,1258,176,945,85,1258,176,836,196,908,240,836,196,908,240,422,144,34,55,992,160,422,144,992,160
1029,1400000US12031012500,Census Tract 125; Duval County; Florida,1876,202,1017,80,1876,202,1050,230,982,143,1050,230,982,143,826,161,11,18,1061,134,826,161,1061,134
1030,1400000US12031012601,Census Tract 126.01; Duval County; Florida,1661,249,990,89,1661,249,384,140,1355,306,384,140,1355,306,1277,256,0,15,965,72,1277,256,965,72
1031,1400000US12031012602,Census Tract 126.02; Duval County; Florida,2690,573,1243,239,2690,573,1038,292,908,316,1038,292,908,316,1652,524,9,37,1409,179,1652,524,1409,179
1032,1400000US12031012702,Census Tract 127.02; Duval County; Florida,2200,233,1045,106,2200,233,1415,201,1024,130,1415,201,1024,130,785,245,9,16,1081,231,785,245,1081,231
1033,1400000US12031012703,Census Tract 127.03; Duval County; Florida,2371,411,1082,116,2371,411,1794,397,978,255,1794,397,978,255,577,173,0,21,1590,259,577,173,1590,259
1034,1400000US12031012704,Census Tract 127.04; Duval County; Florida,2020,220,1081,66,2020,220,925,138,1051,106,925,138,1051,106,1095,242,50,47,1099,113,1095,242,1099,113
1035,1400000US12031012800,Census Tract 128; Duval County; Florida,2790,394,1133,82,2790,394,1526,240,886,166,1526,240,886,166,1264,427,30,35,1311,321,1264,427,1311,321
1036,1400000US12031012900,Census Tract 129; Duval County; Florida,1050,175,977,73,1050,175,818,192,929,78,818,192,929,78,232,73,42,47,1264,243,232,73,1264,243
1037,1400000US12031013000,Census Tract 130; Duval County; Florida,957,89,1743,652,957,89,879,105,1856,615,879,105,1856,615,78,55,0,15,1667,876,78,55,1667,876
1038,1400000US12031013100,Census Tract 131; Duval County; Florida,1103,192,1258,191,1103,192,754,189,1132,358,754,189,1132,358,349,100,6,8,1348,139,349,100,1348,139
1039,1400000US12031013200,Census Tract 132; Duval County; Florida,377,78,1858,132,377,78,103,65,3144,2473,103,65,3144,2473,274,48,49,42,1736,93,274,48,1736,93
1040,1400000US12031013301,Census Tract 133.01; Duval County; Florida,1241,164,1253,382,1241,164,994,184,876,242,994,184,876,242,247,151,0,15,1376,70,247,151,1376,70
1041,1400000US12031013302,Census Tract 133.02; Duval County; Florida,2191,370,1113,115,2191,370,538,167,748,391,538,167,748,391,1653,367,0,15,1159,112,1653,367,1159,112
1042,1400000US12031013402,Census Tract 134.02; Duval County; Florida,2145,253,1006,188,2145,253,1052,188,790,141,1052,188,790,141,1093,222,77,81,1089,99,1093,222,1089,99
1043,1400000US12031013403,Census Tract 134.03; Duval County; Florida,1439,262,1093,56,1439,262,451,86,1193,484,451,86,1193,484,988,243,0,15,1083,49,988,243,1083,49
1044,1400000US12031013404,Census Tract 134.04; Duval County; Florida,1551,229,1073,105,1551,229,513,109,1063,616,513,109,1063,616,1038,235,9,15,1074,86,1038,235,1074,86
1045,1400000US12031013502,Census Tract 135.02; Duval County; Florida,1171,127,1308,60,1171,127,834,129,1269,92,834,129,1269,92,337,127,21,18,1393,86,337,127,1393,86
1046,1400000US12031013504,Census Tract 135.04; Duval County; Florida,2320,393,946,81,2320,393,1629,349,891,148,1629,349,891,148,691,258,0,21,982,116,691,258,982,116
1047,1400000US12031013522,Census Tract 135.22; Duval County; Florida,1665,481,1323,65,1665,481,764,117,945,81,764,117,945,81,901,474,0,15,1398,45,901,474,1398,45
1048,1400000US12031013523,Census Tract 135.23; Duval County; Florida,1584,246,1101,149,1584,246,1129,259,1046,500,1129,259,1046,500,455,234,53,75,1164,192,455,234,1164,192
1049,1400000US12031013524,Census Tract 135.24; Duval County; Florida,1879,199,1120,113,1879,199,908,253,1024,178,908,253,1024,178,971,309,81,138,1186,148,971,309,1186,148
1050,1400000US12031013525,Census Tract 135.25; Duval County; Florida,2347,271,1170,79,2347,271,1059,242,1058,183,1059,242,1058,183,1288,298,0,21,1228,141,1288,298,1228,141
1051,1400000US12031013526,Census Tract 135.26; Duval County; Florida,3545,427,1392,154,3545,427,1067,272,1272,439,1067,272,1272,439,2478,462,0,21,1418,159,2478,462,1418,159
1052,1400000US12031013723,Census Tract 137.23; Duval County; Florida,4446,568,1536,88,4446,568,3069,640,1498,110,3069,640,1498,110,1377,402,0,23,1609,169,1377,402,1609,169
1053,1400000US12031013728,Census Tract 137.28; Duval County; Florida,1824,431,1550,76,1824,431,1279,453,1438,327,1279,453,1438,327,545,208,0,21,1761,136,545,208,1761,136
1054,1400000US12031013729,Census Tract 137.29; Duval County; Florida,1852,167,1440,157,1852,167,1285,239,1426,192,1285,239,1426,192,567,185,34,46,1459,253,567,185,1459,253
1055,1400000US12031013730,Census Tract 137.30; Duval County; Florida,1292,159,1496,179,1292,159,1090,179,1410,175,1090,179,1410,175,202,97,0,15,2019,310,202,97,2019,310
