,geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
2039,1400000US12071040127,Census Tract 401.27; Lee County; Florida,987,185,987,185,59606,20967
2040,1400000US12071040128,Census Tract 401.28; Lee County; Florida,996,197,996,197,116000,12271
2041,1400000US12071040129,Census Tract 401.29; Lee County; Florida,579,115,579,115,111761,18374
2042,1400000US12071040130,Census Tract 401.30; Lee County; Florida,1075,321,1075,321,89097,40871
2043,1400000US12071040131,Census Tract 401.31; Lee County; Florida,423,103,423,103,225768,37465
2044,1400000US12071040132,Census Tract 401.32; Lee County; Florida,518,117,518,117,116477,22193
2045,1400000US12071040133,Census Tract 401.33; Lee County; Florida,1054,231,1054,231,130962,30671
2046,1400000US12071040134,Census Tract 401.34; Lee County; Florida,263,103,263,103,-,**
2047,1400000US12071040135,Census Tract 401.35; Lee County; Florida,661,97,661,97,138902,12953
2048,1400000US12071040136,Census Tract 401.36; Lee County; Florida,1339,232,1339,232,127292,19405
2049,1400000US12071040137,Census Tract 401.37; Lee County; Florida,509,104,509,104,143417,49956
2050,1400000US12071040138,Census Tract 401.38; Lee County; Florida,1096,171,1096,171,159902,9540
2051,1400000US12071040139,Census Tract 401.39; Lee County; Florida,10,17,10,17,-,**
2052,1400000US12071040205,Census Tract 402.05; Lee County; Florida,1352,172,1352,172,69914,9525
2053,1400000US12071040206,Census Tract 402.06; Lee County; Florida,929,172,929,172,91289,25070
2054,1400000US12071040207,Census Tract 402.07; Lee County; Florida,1348,199,1348,199,68844,4522
2055,1400000US12071040208,Census Tract 402.08; Lee County; Florida,572,97,572,97,66071,11466
2056,1400000US12071040209,Census Tract 402.09; Lee County; Florida,727,131,727,131,78750,23689
2057,1400000US12071040210,Census Tract 402.10; Lee County; Florida,741,115,741,115,66091,8487
2058,1400000US12071040211,Census Tract 402.11; Lee County; Florida,1184,230,1184,230,68953,8711
2059,1400000US12071040212,Census Tract 402.12; Lee County; Florida,1570,260,1570,260,67988,16413
2060,1400000US12071040301,Census Tract 403.01; Lee County; Florida,1626,256,1626,256,65052,13887
2061,1400000US12071040302,Census Tract 403.02; Lee County; Florida,1000,182,1000,182,65223,6981
2062,1400000US12071040303,Census Tract 403.03; Lee County; Florida,1647,169,1647,169,62426,16844
2063,1400000US12071040304,Census Tract 403.04; Lee County; Florida,1324,256,1324,256,48125,19164
2064,1400000US12071040305,Census Tract 403.05; Lee County; Florida,946,213,946,213,39922,10994
2065,1400000US12071040308,Census Tract 403.08; Lee County; Florida,942,140,942,140,53571,11096
2066,1400000US12071040310,Census Tract 403.10; Lee County; Florida,646,99,646,99,70086,21935
2067,1400000US12071040311,Census Tract 403.11; Lee County; Florida,1260,265,1260,265,46848,12641
2068,1400000US12071040312,Census Tract 403.12; Lee County; Florida,417,83,417,83,81250,11344
2069,1400000US12071040313,Census Tract 403.13; Lee County; Florida,474,80,474,80,51250,25636
2070,1400000US12071040314,Census Tract 403.14; Lee County; Florida,708,130,708,130,60370,13180
2071,1400000US12071040315,Census Tract 403.15; Lee County; Florida,744,115,744,115,66364,11524
2072,1400000US12071040316,Census Tract 403.16; Lee County; Florida,1037,212,1037,212,64505,9601
2073,1400000US12071050103,Census Tract 501.03; Lee County; Florida,445,82,445,82,84688,21793
2074,1400000US12071050104,Census Tract 501.04; Lee County; Florida,809,144,809,144,99375,26064
2075,1400000US12071050105,Census Tract 501.05; Lee County; Florida,830,166,830,166,115750,23630
2076,1400000US12071050106,Census Tract 501.06; Lee County; Florida,1436,380,1436,380,88036,32154
2077,1400000US12071050204,Census Tract 502.04; Lee County; Florida,890,146,890,146,117037,17034
2078,1400000US12071050205,Census Tract 502.05; Lee County; Florida,374,92,374,92,83141,18342
2079,1400000US12071050206,Census Tract 502.06; Lee County; Florida,865,255,865,255,86519,4724
2080,1400000US12071050207,Census Tract 502.07; Lee County; Florida,874,133,874,133,129600,13793
2081,1400000US12071050208,Census Tract 502.08; Lee County; Florida,1514,250,1514,250,80938,7465
2082,1400000US12071050210,Census Tract 502.10; Lee County; Florida,731,186,731,186,87292,24399
2083,1400000US12071050211,Census Tract 502.11; Lee County; Florida,813,193,813,193,77212,13099
2084,1400000US12071050212,Census Tract 502.12; Lee County; Florida,1001,310,1001,310,79904,21156
2085,1400000US12071050213,Census Tract 502.13; Lee County; Florida,1224,241,1224,241,75167,20887
2086,1400000US12071050305,Census Tract 503.05; Lee County; Florida,1348,197,1348,197,199000,55707
2087,1400000US12071050306,Census Tract 503.06; Lee County; Florida,721,125,721,125,74583,17405
2088,1400000US12071050311,Census Tract 503.11; Lee County; Florida,2872,346,2872,346,133947,23398
2089,1400000US12071050312,Census Tract 503.12; Lee County; Florida,1268,235,1268,235,91886,17798
2090,1400000US12071050315,Census Tract 503.15; Lee County; Florida,568,137,568,137,146136,34424
2091,1400000US12071050316,Census Tract 503.16; Lee County; Florida,861,181,861,181,145795,32518
2092,1400000US12071050317,Census Tract 503.17; Lee County; Florida,731,203,731,203,61847,26736
2093,1400000US12071050318,Census Tract 503.18; Lee County; Florida,1663,360,1663,360,90195,21863
2094,1400000US12071050319,Census Tract 503.19; Lee County; Florida,579,188,579,188,140469,40766
2095,1400000US12071050320,Census Tract 503.20; Lee County; Florida,1809,415,1809,415,104993,16437
2096,1400000US12071050321,Census Tract 503.21; Lee County; Florida,729,163,729,163,215446,38816
2097,1400000US12071050322,Census Tract 503.22; Lee County; Florida,1203,267,1203,267,141324,15725
2098,1400000US12071050323,Census Tract 503.23; Lee County; Florida,516,158,516,158,138438,74904
2099,1400000US12071050324,Census Tract 503.24; Lee County; Florida,1370,389,1370,389,116875,9727
2100,1400000US12071050325,Census Tract 503.25; Lee County; Florida,1151,236,1151,236,114018,24591
2101,1400000US12071050401,Census Tract 504.01; Lee County; Florida,898,194,898,194,72621,18917
2102,1400000US12071050402,Census Tract 504.02; Lee County; Florida,1525,283,1525,283,96823,27539
2103,1400000US12071050501,Census Tract 505.01; Lee County; Florida,1088,233,1088,233,96860,19638
2104,1400000US12071050502,Census Tract 505.02; Lee County; Florida,890,153,890,153,79841,43910
2105,1400000US12071050601,Census Tract 506.01; Lee County; Florida,832,208,832,208,101875,28638
2106,1400000US12071050603,Census Tract 506.03; Lee County; Florida,1007,328,1007,328,59213,20968
2107,1400000US12071050604,Census Tract 506.04; Lee County; Florida,517,127,517,127,120982,16745
2108,1400000US12071060101,Census Tract 601.01; Lee County; Florida,161,63,161,63,58472,14139
2109,1400000US12071060102,Census Tract 601.02; Lee County; Florida,626,124,626,124,118971,43099
2110,1400000US12071060201,Census Tract 602.01; Lee County; Florida,269,75,269,75,155625,26528
2111,1400000US12071060202,Census Tract 602.02; Lee County; Florida,526,100,526,100,120714,25598
2112,1400000US12071060203,Census Tract 602.03; Lee County; Florida,421,90,421,90,105179,46634
2113,1400000US12071060300,Census Tract 603; Lee County; Florida,383,123,383,123,152150,54797
2114,1400000US12071070101,Census Tract 701.01; Lee County; Florida,571,89,571,89,57569,9975
2115,1400000US12071070102,Census Tract 701.02; Lee County; Florida,950,233,950,233,92250,32456
2116,1400000US12071070201,Census Tract 702.01; Lee County; Florida,767,261,767,261,81125,44182
2117,1400000US12071070202,Census Tract 702.02; Lee County; Florida,334,118,334,118,60114,20695
2118,1400000US12071080100,Census Tract 801; Lee County; Florida,30,23,30,23,-,**
2119,1400000US12071080202,Census Tract 802.02; Lee County; Florida,826,167,826,167,149464,47640
2120,1400000US12071080203,Census Tract 802.03; Lee County; Florida,526,101,526,101,152222,39057
2121,1400000US12071080204,Census Tract 802.04; Lee County; Florida,1013,274,1013,274,154732,65066
2122,1400000US12071080300,Census Tract 803; Lee County; Florida,401,111,401,111,68922,17789
2123,1400000US12071090100,Census Tract 901; Lee County; Florida,201,77,201,77,141632,38086
2124,1400000US12071980000,Census Tract 9800; Lee County; Florida,0,15,0,15,-,**
2125,1400000US12071990000,Census Tract 9900; Lee County; Florida,0,15,0,15,-,**
2126,1400000US12073000200,Census Tract 2; Leon County; Florida,823,184,823,184,95938,9044
2127,1400000US12073000301,Census Tract 3.01; Leon County; Florida,346,93,346,93,113561,18792
2128,1400000US12073000302,Census Tract 3.02; Leon County; Florida,587,105,587,105,90104,21600
2129,1400000US12073000303,Census Tract 3.03; Leon County; Florida,1105,246,1105,246,41826,12266
2130,1400000US12073000400,Census Tract 4; Leon County; Florida,286,90,286,90,54000,20504
2131,1400000US12073000501,Census Tract 5.01; Leon County; Florida,11,19,11,19,-,**
2132,1400000US12073000502,Census Tract 5.02; Leon County; Florida,0,15,0,15,-,**
2133,1400000US12073000600,Census Tract 6; Leon County; Florida,356,131,356,131,41615,3491
2134,1400000US12073000700,Census Tract 7; Leon County; Florida,346,105,346,105,62000,30833
2135,1400000US12073000800,Census Tract 8; Leon County; Florida,713,147,713,147,98472,28792
2136,1400000US12073000903,Census Tract 9.03; Leon County; Florida,379,107,379,107,68451,20614
2137,1400000US12073000904,Census Tract 9.04; Leon County; Florida,799,167,799,167,74913,14912
2138,1400000US12073000905,Census Tract 9.05; Leon County; Florida,485,124,485,124,58295,19814
2139,1400000US12073000906,Census Tract 9.06; Leon County; Florida,599,198,599,198,71557,19319
2140,1400000US12073000907,Census Tract 9.07; Leon County; Florida,1196,218,1196,218,85435,22349
2141,1400000US12073001001,Census Tract 10.01; Leon County; Florida,646,143,646,143,33056,17536
2142,1400000US12073001002,Census Tract 10.02; Leon County; Florida,617,177,617,177,43682,21676
2143,1400000US12073001101,Census Tract 11.01; Leon County; Florida,294,83,294,83,26848,9305
2144,1400000US12073001102,Census Tract 11.02; Leon County; Florida,687,240,687,240,50492,18505
2145,1400000US12073001200,Census Tract 12; Leon County; Florida,101,53,101,53,32708,6569
2146,1400000US12073001300,Census Tract 13; Leon County; Florida,0,21,0,21,-,**
2147,1400000US12073001401,Census Tract 14.01; Leon County; Florida,316,91,316,91,66250,28775
2148,1400000US12073001402,Census Tract 14.02; Leon County; Florida,549,175,549,175,19635,4519
2149,1400000US12073001500,Census Tract 15; Leon County; Florida,1067,165,1067,165,57351,25432
2150,1400000US12073001601,Census Tract 16.01; Leon County; Florida,1131,243,1131,243,64301,29670
2151,1400000US12073001602,Census Tract 16.02; Leon County; Florida,1039,238,1039,238,115893,15295
2152,1400000US12073001701,Census Tract 17.01; Leon County; Florida,796,94,796,94,172250,40363
2153,1400000US12073001702,Census Tract 17.02; Leon County; Florida,1269,235,1269,235,139345,16876
2154,1400000US12073001801,Census Tract 18.01; Leon County; Florida,1004,174,1004,174,44063,14000
2155,1400000US12073001803,Census Tract 18.03; Leon County; Florida,116,75,116,75,55833,2149
2156,1400000US12073001804,Census Tract 18.04; Leon County; Florida,1332,254,1332,254,56439,13018
2157,1400000US12073001901,Census Tract 19.01; Leon County; Florida,352,118,352,118,48269,15624
2158,1400000US12073001902,Census Tract 19.02; Leon County; Florida,896,253,896,253,30063,5524
2159,1400000US12073002003,Census Tract 20.03; Leon County; Florida,262,102,262,102,38640,5141
2160,1400000US12073002005,Census Tract 20.05; Leon County; Florida,113,104,113,104,-,**
2161,1400000US12073002006,Census Tract 20.06; Leon County; Florida,331,127,331,127,32049,15817
2162,1400000US12073002007,Census Tract 20.07; Leon County; Florida,313,117,313,117,39279,24283
2163,1400000US12073002008,Census Tract 20.08; Leon County; Florida,250,142,250,142,41212,10551
2164,1400000US12073002101,Census Tract 21.01; Leon County; Florida,690,158,690,158,58518,1744
2165,1400000US12073002103,Census Tract 21.03; Leon County; Florida,340,151,340,151,16930,16741
2166,1400000US12073002105,Census Tract 21.05; Leon County; Florida,461,130,461,130,47382,45655
2167,1400000US12073002106,Census Tract 21.06; Leon County; Florida,359,141,359,141,-,**
2168,1400000US12073002201,Census Tract 22.01; Leon County; Florida,1015,255,1015,255,71575,14464
2169,1400000US12073002205,Census Tract 22.05; Leon County; Florida,1405,342,1405,342,58150,29880
2170,1400000US12073002206,Census Tract 22.06; Leon County; Florida,1041,170,1041,170,90074,8589
2171,1400000US12073002207,Census Tract 22.07; Leon County; Florida,419,126,419,126,49884,12576
2172,1400000US12073002208,Census Tract 22.08; Leon County; Florida,1350,149,1350,149,78092,9561
2173,1400000US12073002302,Census Tract 23.02; Leon County; Florida,856,155,856,155,122188,39818
2174,1400000US12073002303,Census Tract 23.03; Leon County; Florida,1166,243,1166,243,85557,7085
2175,1400000US12073002304,Census Tract 23.04; Leon County; Florida,638,139,638,139,61591,37966
2176,1400000US12073002403,Census Tract 24.03; Leon County; Florida,540,127,540,127,82368,12294
2177,1400000US12073002410,Census Tract 24.10; Leon County; Florida,1876,273,1876,273,84802,13443
2178,1400000US12073002411,Census Tract 24.11; Leon County; Florida,427,66,427,66,139458,9224
2179,1400000US12073002413,Census Tract 24.13; Leon County; Florida,842,110,842,110,172500,48372
2180,1400000US12073002414,Census Tract 24.14; Leon County; Florida,1399,286,1399,286,105515,26171
2181,1400000US12073002415,Census Tract 24.15; Leon County; Florida,1287,237,1287,237,133345,5366
2182,1400000US12073002416,Census Tract 24.16; Leon County; Florida,850,106,850,106,174583,56982
2183,1400000US12073002418,Census Tract 24.18; Leon County; Florida,1289,163,1289,163,124425,8834
2184,1400000US12073002419,Census Tract 24.19; Leon County; Florida,1355,171,1355,171,144625,30877
2185,1400000US12073002420,Census Tract 24.20; Leon County; Florida,844,94,844,94,109801,7503
2186,1400000US12073002421,Census Tract 24.21; Leon County; Florida,1241,152,1241,152,129861,16785
2187,1400000US12073002422,Census Tract 24.22; Leon County; Florida,1069,151,1069,151,162292,25491
2188,1400000US12073002423,Census Tract 24.23; Leon County; Florida,1439,297,1439,297,125795,34564
2189,1400000US12073002505,Census Tract 25.05; Leon County; Florida,1449,251,1449,251,107119,12078
2190,1400000US12073002507,Census Tract 25.07; Leon County; Florida,791,131,791,131,114526,9276
2191,1400000US12073002509,Census Tract 25.09; Leon County; Florida,639,179,639,179,53917,29083
2192,1400000US12073002511,Census Tract 25.11; Leon County; Florida,557,74,557,74,121339,23233
2193,1400000US12073002512,Census Tract 25.12; Leon County; Florida,1103,159,1103,159,126976,24795
2194,1400000US12073002513,Census Tract 25.13; Leon County; Florida,1422,133,1422,133,148011,12313
2195,1400000US12073002514,Census Tract 25.14; Leon County; Florida,926,139,926,139,137153,25528
2196,1400000US12073002515,Census Tract 25.15; Leon County; Florida,1469,258,1469,258,126128,36548
2197,1400000US12073002516,Census Tract 25.16; Leon County; Florida,711,155,711,155,86319,17202
2198,1400000US12073002517,Census Tract 25.17; Leon County; Florida,908,177,908,177,113205,15780
2199,1400000US12073002603,Census Tract 26.03; Leon County; Florida,1439,381,1439,381,52514,21519
2200,1400000US12073002604,Census Tract 26.04; Leon County; Florida,795,195,795,195,77159,39025
2201,1400000US12073002605,Census Tract 26.05; Leon County; Florida,1800,280,1800,280,143981,27193
2202,1400000US12073002606,Census Tract 26.06; Leon County; Florida,965,125,965,125,88708,21352
2203,1400000US12073002701,Census Tract 27.01; Leon County; Florida,1136,284,1136,284,65793,34444
2204,1400000US12073002702,Census Tract 27.02; Leon County; Florida,987,163,987,163,75655,26245
2205,1400000US12075970101,Census Tract 9701.01; Levy County; Florida,696,136,696,136,59500,17277
2206,1400000US12075970103,Census Tract 9701.03; Levy County; Florida,920,208,920,208,58222,9017
2207,1400000US12075970104,Census Tract 9701.04; Levy County; Florida,1340,278,1340,278,57031,17352
2208,1400000US12075970200,Census Tract 9702; Levy County; Florida,1030,174,1030,174,66452,13153
2209,1400000US12075970301,Census Tract 9703.01; Levy County; Florida,479,160,479,160,53375,19579
2210,1400000US12075970303,Census Tract 9703.03; Levy County; Florida,939,186,939,186,71146,9720
2211,1400000US12075970304,Census Tract 9703.04; Levy County; Florida,709,204,709,204,41708,17610
2212,1400000US12075970400,Census Tract 9704; Levy County; Florida,794,185,794,185,55833,20917
2213,1400000US12075970501,Census Tract 9705.01; Levy County; Florida,1142,210,1142,210,66211,10166
2214,1400000US12075970502,Census Tract 9705.02; Levy County; Florida,1301,269,1301,269,87274,9284
2215,1400000US12075970600,Census Tract 9706; Levy County; Florida,1143,214,1143,214,42917,24119
2216,1400000US12075970700,Census Tract 9707; Levy County; Florida,1080,173,1080,173,53974,2064
2217,1400000US12075990000,Census Tract 9900; Levy County; Florida,0,15,0,15,-,**
2218,1400000US12077950100,Census Tract 9501; Liberty County; Florida,558,128,558,128,68667,13449
2219,1400000US12077950201,Census Tract 9502.01; Liberty County; Florida,756,143,756,143,56516,10598
2220,1400000US12077950202,Census Tract 9502.02; Liberty County; Florida,341,86,341,86,61250,9441
2221,1400000US12077980000,Census Tract 9800; Liberty County; Florida,0,15,0,15,-,**
2222,1400000US12079110100,Census Tract 1101; Madison County; Florida,744,140,744,140,81176,39373
2223,1400000US12079110200,Census Tract 1102; Madison County; Florida,771,123,771,123,68641,21456
2224,1400000US12079110301,Census Tract 1103.01; Madison County; Florida,631,111,631,111,57679,15906
2225,1400000US12079110302,Census Tract 1103.02; Madison County; Florida,941,197,941,197,45091,18053
2226,1400000US12079110400,Census Tract 1104; Madison County; Florida,897,186,897,186,60795,13134
2227,1400000US12081000101,Census Tract 1.01; Manatee County; Florida,406,82,406,82,111184,17564
2228,1400000US12081000103,Census Tract 1.03; Manatee County; Florida,457,162,457,162,48885,20450
2229,1400000US12081000105,Census Tract 1.05; Manatee County; Florida,820,205,820,205,36012,4832
2230,1400000US12081000106,Census Tract 1.06; Manatee County; Florida,1106,331,1106,331,55810,14910
2231,1400000US12081000201,Census Tract 2.01; Manatee County; Florida,1346,289,1346,289,51715,6993
2232,1400000US12081000203,Census Tract 2.03; Manatee County; Florida,408,134,408,134,45500,15593
2233,1400000US12081000204,Census Tract 2.04; Manatee County; Florida,585,113,585,113,65719,20025
2234,1400000US12081000304,Census Tract 3.04; Manatee County; Florida,814,245,814,245,59531,16464
2235,1400000US12081000305,Census Tract 3.05; Manatee County; Florida,1526,349,1526,349,52773,16998
2236,1400000US12081000307,Census Tract 3.07; Manatee County; Florida,695,163,695,163,56518,13615
2237,1400000US12081000309,Census Tract 3.09; Manatee County; Florida,961,203,961,203,49097,19912
2238,1400000US12081000310,Census Tract 3.10; Manatee County; Florida,1012,220,1012,220,57865,4926
2239,1400000US12081000311,Census Tract 3.11; Manatee County; Florida,396,170,396,170,57283,19842
2240,1400000US12081000312,Census Tract 3.12; Manatee County; Florida,478,154,478,154,80756,26872
2241,1400000US12081000313,Census Tract 3.13; Manatee County; Florida,302,108,302,108,48241,11840
2242,1400000US12081000314,Census Tract 3.14; Manatee County; Florida,544,163,544,163,57544,15785
2243,1400000US12081000403,Census Tract 4.03; Manatee County; Florida,444,73,444,73,128864,15962
2244,1400000US12081000405,Census Tract 4.05; Manatee County; Florida,854,237,854,237,86333,15630
2245,1400000US12081000406,Census Tract 4.06; Manatee County; Florida,998,162,998,162,71280,10311
2246,1400000US12081000407,Census Tract 4.07; Manatee County; Florida,1035,192,1035,192,95250,15730
2247,1400000US12081000409,Census Tract 4.09; Manatee County; Florida,768,189,768,189,74118,46570
2248,1400000US12081000410,Census Tract 4.10; Manatee County; Florida,790,181,790,181,64352,15991
2249,1400000US12081000501,Census Tract 5.01; Manatee County; Florida,616,94,616,94,69537,23559
2250,1400000US12081000503,Census Tract 5.03; Manatee County; Florida,1004,266,1004,266,112692,36381
2251,1400000US12081000504,Census Tract 5.04; Manatee County; Florida,718,156,718,156,66250,17536
2252,1400000US12081000601,Census Tract 6.01; Manatee County; Florida,717,184,717,184,54141,26528
2253,1400000US12081000603,Census Tract 6.03; Manatee County; Florida,1031,146,1031,146,72547,23040
2254,1400000US12081000604,Census Tract 6.04; Manatee County; Florida,858,221,858,221,49145,31507
2255,1400000US12081000703,Census Tract 7.03; Manatee County; Florida,678,166,678,166,56645,9086
2256,1400000US12081000704,Census Tract 7.04; Manatee County; Florida,1185,276,1185,276,45529,2007
2257,1400000US12081000705,Census Tract 7.05; Manatee County; Florida,1466,274,1466,274,52400,10969
2258,1400000US12081000804,Census Tract 8.04; Manatee County; Florida,940,147,940,147,103777,12493
2259,1400000US12081000805,Census Tract 8.05; Manatee County; Florida,1895,260,1895,260,86678,12309
2260,1400000US12081000808,Census Tract 8.08; Manatee County; Florida,1980,369,1980,369,89400,22766
2261,1400000US12081000809,Census Tract 8.09; Manatee County; Florida,1274,282,1274,282,88269,27258
2262,1400000US12081000810,Census Tract 8.10; Manatee County; Florida,1778,270,1778,270,125357,18083
2263,1400000US12081000811,Census Tract 8.11; Manatee County; Florida,883,262,883,262,52282,27306
2264,1400000US12081000812,Census Tract 8.12; Manatee County; Florida,1166,335,1166,335,94896,27015
2265,1400000US12081000813,Census Tract 8.13; Manatee County; Florida,1243,157,1243,157,100574,23874
2266,1400000US12081000814,Census Tract 8.14; Manatee County; Florida,1385,335,1385,335,95099,31514
2267,1400000US12081000901,Census Tract 9.01; Manatee County; Florida,1339,182,1339,182,78972,8149
2268,1400000US12081000902,Census Tract 9.02; Manatee County; Florida,1464,418,1464,418,103750,23187
2269,1400000US12081001001,Census Tract 10.01; Manatee County; Florida,610,92,610,92,68796,16368
2270,1400000US12081001002,Census Tract 10.02; Manatee County; Florida,541,241,541,241,93719,25426
2271,1400000US12081001104,Census Tract 11.04; Manatee County; Florida,864,180,864,180,85461,15953
2272,1400000US12081001105,Census Tract 11.05; Manatee County; Florida,1012,155,1012,155,81196,33482
2273,1400000US12081001106,Census Tract 11.06; Manatee County; Florida,1158,309,1158,309,39531,21425
2274,1400000US12081001107,Census Tract 11.07; Manatee County; Florida,1136,281,1136,281,78875,43033
2275,1400000US12081001108,Census Tract 11.08; Manatee County; Florida,878,184,878,184,84286,12627
2276,1400000US12081001202,Census Tract 12.02; Manatee County; Florida,1118,251,1118,251,90625,27501
2277,1400000US12081001203,Census Tract 12.03; Manatee County; Florida,1202,198,1202,198,84500,12981
2278,1400000US12081001204,Census Tract 12.04; Manatee County; Florida,2074,276,2074,276,119691,12337
2279,1400000US12081001300,Census Tract 13; Manatee County; Florida,892,146,892,146,78563,35835
2280,1400000US12081001402,Census Tract 14.02; Manatee County; Florida,504,154,504,154,77000,21949
2281,1400000US12081001404,Census Tract 14.04; Manatee County; Florida,1218,414,1218,414,107159,48918
2282,1400000US12081001405,Census Tract 14.05; Manatee County; Florida,590,124,590,124,76824,17275
2283,1400000US12081001406,Census Tract 14.06; Manatee County; Florida,739,192,739,192,77250,34490
2284,1400000US12081001501,Census Tract 15.01; Manatee County; Florida,1416,273,1416,273,68750,31410
2285,1400000US12081001502,Census Tract 15.02; Manatee County; Florida,1520,292,1520,292,67125,13990
2286,1400000US12081001602,Census Tract 16.02; Manatee County; Florida,867,156,867,156,91577,8135
2287,1400000US12081001603,Census Tract 16.03; Manatee County; Florida,468,159,468,159,72500,30997
2288,1400000US12081001604,Census Tract 16.04; Manatee County; Florida,1188,278,1188,278,73474,6871
2289,1400000US12081001701,Census Tract 17.01; Manatee County; Florida,322,82,322,82,75556,22902
2290,1400000US12081001705,Census Tract 17.05; Manatee County; Florida,1066,85,1066,85,114444,39201
2291,1400000US12081001801,Census Tract 18.01; Manatee County; Florida,783,127,783,127,133371,23573
2292,1400000US12081001802,Census Tract 18.02; Manatee County; Florida,329,71,329,71,94728,54139
2293,1400000US12081001904,Census Tract 19.04; Manatee County; Florida,2227,328,2227,328,71811,22727
2294,1400000US12081001907,Census Tract 19.07; Manatee County; Florida,1815,280,1815,280,81433,20321
2295,1400000US12081001908,Census Tract 19.08; Manatee County; Florida,2141,434,2141,434,95118,18939
2296,1400000US12081001909,Census Tract 19.09; Manatee County; Florida,1197,173,1197,173,114554,30049
2297,1400000US12081001910,Census Tract 19.10; Manatee County; Florida,1798,280,1798,280,97321,22780
2298,1400000US12081001911,Census Tract 19.11; Manatee County; Florida,2259,285,2259,285,100982,20906
2299,1400000US12081001913,Census Tract 19.13; Manatee County; Florida,1760,178,1760,178,126711,13507
2300,1400000US12081001914,Census Tract 19.14; Manatee County; Florida,795,163,795,163,121625,11689
2301,1400000US12081001915,Census Tract 19.15; Manatee County; Florida,1253,267,1253,267,135942,19037
2302,1400000US12081001916,Census Tract 19.16; Manatee County; Florida,1463,138,1463,138,111569,10794
2303,1400000US12081002003,Census Tract 20.03; Manatee County; Florida,1575,321,1575,321,105762,19672
2304,1400000US12081002005,Census Tract 20.05; Manatee County; Florida,1790,179,1790,179,110417,20056
2305,1400000US12081002008,Census Tract 20.08; Manatee County; Florida,1639,214,1639,214,127945,19687
2306,1400000US12081002010,Census Tract 20.10; Manatee County; Florida,1094,163,1094,163,100272,29545
2307,1400000US12081002011,Census Tract 20.11; Manatee County; Florida,1078,212,1078,212,72273,26308
2308,1400000US12081002012,Census Tract 20.12; Manatee County; Florida,1438,166,1438,166,99651,12195
2309,1400000US12081002014,Census Tract 20.14; Manatee County; Florida,2274,371,2274,371,148594,42999
2310,1400000US12081002016,Census Tract 20.16; Manatee County; Florida,2055,259,2055,259,111917,14545
2311,1400000US12081002017,Census Tract 20.17; Manatee County; Florida,1220,160,1220,160,108500,15321
2312,1400000US12081002018,Census Tract 20.18; Manatee County; Florida,1943,282,1943,282,134207,15254
2313,1400000US12081002019,Census Tract 20.19; Manatee County; Florida,2132,297,2132,297,104097,33060
2314,1400000US12081002020,Census Tract 20.20; Manatee County; Florida,1199,235,1199,235,88047,49519
2315,1400000US12081002021,Census Tract 20.21; Manatee County; Florida,2215,444,2215,444,164057,14796
2316,1400000US12081002022,Census Tract 20.22; Manatee County; Florida,526,112,526,112,216667,46588
2317,1400000US12081002023,Census Tract 20.23; Manatee County; Florida,2440,253,2440,253,130588,20500
2318,1400000US12081002024,Census Tract 20.24; Manatee County; Florida,1195,295,1195,295,130179,55517
2319,1400000US12081002025,Census Tract 20.25; Manatee County; Florida,1752,265,1752,265,88844,6929
2320,1400000US12081990000,Census Tract 9900; Manatee County; Florida,0,15,0,15,-,**
2321,1400000US12083000101,Census Tract 1.01; Marion County; Florida,708,252,708,252,137900,53705
2322,1400000US12083000102,Census Tract 1.02; Marion County; Florida,615,107,615,107,103549,41947
2323,1400000US12083000201,Census Tract 2.01; Marion County; Florida,556,144,556,144,63605,12238
2324,1400000US12083000202,Census Tract 2.02; Marion County; Florida,1031,345,1031,345,56865,4473
2325,1400000US12083000203,Census Tract 2.03; Marion County; Florida,340,101,340,101,71891,24547
2326,1400000US12083000302,Census Tract 3.02; Marion County; Florida,958,196,958,196,39200,24102
2327,1400000US12083000303,Census Tract 3.03; Marion County; Florida,572,131,572,131,67857,14274
2328,1400000US12083000304,Census Tract 3.04; Marion County; Florida,210,90,210,90,98636,36183
2329,1400000US12083000401,Census Tract 4.01; Marion County; Florida,748,192,748,192,71000,13923
2330,1400000US12083000402,Census Tract 4.02; Marion County; Florida,1015,254,1015,254,59042,16913
2331,1400000US12083000501,Census Tract 5.01; Marion County; Florida,555,135,555,135,63750,33646
2332,1400000US12083000502,Census Tract 5.02; Marion County; Florida,437,113,437,113,46208,15043
2333,1400000US12083000601,Census Tract 6.01; Marion County; Florida,903,218,903,218,46190,8259
2334,1400000US12083000604,Census Tract 6.04; Marion County; Florida,726,134,726,134,59762,12327
2335,1400000US12083000605,Census Tract 6.05; Marion County; Florida,738,181,738,181,54193,4956
2336,1400000US12083000606,Census Tract 6.06; Marion County; Florida,658,153,658,153,66319,1757
2337,1400000US12083000607,Census Tract 6.07; Marion County; Florida,902,197,902,197,48898,11362
2338,1400000US12083000703,Census Tract 7.03; Marion County; Florida,834,248,834,248,48684,17013
2339,1400000US12083000704,Census Tract 7.04; Marion County; Florida,477,167,477,167,99063,63862
2340,1400000US12083000705,Census Tract 7.05; Marion County; Florida,676,231,676,231,132727,36667
2341,1400000US12083000706,Census Tract 7.06; Marion County; Florida,1504,193,1504,193,74783,12657
